location,property_type,area,bedrooms,bathrooms,age,parking,furnishing,pool,gym,lift,security,garden,clubhouse,price
Pune,Apartment,3637,3,2,7,1,Unfurnished,0,0,1,0,0,0,16625177
Delhi,Villa,2898,2,4,7,3,Unfurnished,1,0,0,1,1,1,26962698
Chennai,Apartment,2156,1,3,11,2,Unfurnished,0,1,0,1,0,1,9605293
Delhi,Independent House,3485,1,1,21,1,Semi Furnished,1,0,0,0,1,1,30322920
Chennai,Apartment,2055,2,3,22,0,Fully Furnished,0,0,0,1,1,1,10821388
Pune,Villa,3404,3,1,7,0,Semi Furnished,1,1,1,0,0,1,23447202
Mumbai,Independent House,1185,3,2,7,2,Luxury,1,1,1,0,0,1,17844291
Hyderabad,Apartment,3170,2,4,19,0,Semi Furnished,1,1,1,1,0,0,16286116
Delhi,Independent House,1056,3,4,5,3,Fully Furnished,0,1,0,0,1,0,11679520
Bangalore,Villa,3053,3,4,0,0,Unfurnished,1,1,0,0,0,0,22658970
Mumbai,Apartment,1125,4,2,8,3,Semi Furnished,0,0,1,1,1,1,14686950
Mumbai,Apartment,1520,1,3,0,1,Semi Furnished,0,0,0,0,0,0,17567615
Chennai,Apartment,1740,4,2,17,1,Semi Furnished,1,0,1,1,0,0,7915915
Mumbai,Independent House,2283,4,1,21,0,Luxury,0,1,1,0,0,0,31488304
Mumbai,Apartment,1351,3,4,7,0,Luxury,1,0,0,0,0,0,17487001
Mumbai,Independent House,2242,1,2,12,0,Semi Furnished,1,1,1,1,1,1,25445912
Chennai,Apartment,2972,5,1,23,2,Unfurnished,0,0,1,0,0,0,12521285
Hyderabad,Villa,3365,2,4,3,1,Unfurnished,0,0,1,1,1,0,20935464
Chennai,Apartment,2221,2,3,14,2,Fully Furnished,0,0,1,0,0,0,10912909
Bangalore,Independent House,1600,3,3,5,3,Unfurnished,1,0,1,0,0,1,11571803
Hyderabad,Villa,1715,3,2,22,2,Semi Furnished,0,1,1,1,0,0,11725294
Chennai,Apartment,1966,2,3,5,3,Unfurnished,1,0,0,0,0,0,9578372
Delhi,Villa,2360,2,1,9,2,Semi Furnished,0,1,0,0,0,1,26448102
Mumbai,Villa,1569,2,2,13,0,Semi Furnished,0,1,1,0,1,0,23403506
Hyderabad,Independent House,2527,2,2,14,2,Unfurnished,1,0,0,0,0,1,12668879
Hyderabad,Independent House,3227,5,4,21,2,Fully Furnished,0,0,1,0,1,0,18990021
Mumbai,Independent House,2387,5,1,12,1,Fully Furnished,1,0,1,0,0,1,32442572
Pune,Independent House,3317,1,3,16,2,Fully Furnished,1,1,1,1,0,0,22399328
Mumbai,Villa,3121,5,3,12,0,Semi Furnished,1,1,0,1,1,1,44410348
Pune,Apartment,3851,2,1,9,2,Luxury,0,0,1,0,0,0,22503361
Bangalore,Independent House,2465,4,2,22,3,Unfurnished,1,1,0,0,0,0,17954705
Bangalore,Apartment,805,5,2,3,3,Luxury,0,1,1,1,1,1,9917370
Pune,Independent House,1661,2,3,24,3,Luxury,0,1,1,0,1,0,12395425
Chennai,Villa,1166,2,2,12,1,Unfurnished,0,0,1,1,1,1,6800246
Bangalore,Independent House,3753,5,1,24,3,Luxury,1,0,1,1,1,1,34783497
Pune,Villa,2599,2,3,13,3,Semi Furnished,0,1,1,1,0,1,20912114
Delhi,Villa,2213,5,1,2,3,Unfurnished,0,1,0,0,1,1,22124687
Mumbai,Independent House,3717,4,3,24,3,Fully Furnished,1,0,1,0,0,1,47076836
Hyderabad,Villa,3689,1,2,6,0,Unfurnished,0,0,0,1,0,0,20525061
Chennai,Independent House,3081,5,1,24,1,Semi Furnished,1,0,0,1,1,1,17274057
Bangalore,Apartment,1017,3,1,25,0,Semi Furnished,1,1,1,0,1,0,7545041
Mumbai,Apartment,2083,4,2,13,1,Luxury,1,1,1,1,1,1,30598420
Hyderabad,Independent House,1598,4,4,10,0,Luxury,1,1,0,1,0,1,13707678
Chennai,Independent House,2876,1,2,2,1,Fully Furnished,1,1,0,1,1,1,17855341
Hyderabad,Independent House,2256,2,3,21,2,Semi Furnished,1,1,1,1,1,1,12952847
Chennai,Apartment,3554,2,3,3,1,Unfurnished,0,0,1,1,1,0,15405323
Chennai,Apartment,1334,3,1,22,1,Fully Furnished,1,0,0,1,0,1,6421825
Hyderabad,Villa,2522,4,4,10,1,Fully Furnished,0,1,1,0,0,1,19427566
Delhi,Villa,1221,2,3,2,1,Unfurnished,0,1,0,1,1,1,12642333
Delhi,Independent House,2929,5,1,19,0,Fully Furnished,0,0,1,0,0,0,27289593
Hyderabad,Apartment,2273,4,4,9,0,Unfurnished,0,1,1,1,0,0,12209929
Pune,Villa,2341,1,2,20,1,Semi Furnished,1,0,0,0,0,1,16713528
Delhi,Independent House,1109,4,3,22,3,Luxury,1,1,1,0,0,1,14925128
